payment_id,amount,timestamp,status,payment_method,bank,error_source,error_step,error_reason
PAY001,1200.00,2026-08-28T10:00:00,success,UPI,HDFC,none,none,none
PAY002,450.50,2026-08-28T10:01:00,success,Card,ICICI,none,none,none
PAY003,2300.00,2026-08-28T10:02:00,failed,Card,HDFC,issuer,auth_reject,insufficient_balance
PAY004,890.00,2026-08-28T10:03:00,success,NetBanking,SBI,none,none,none
PAY005,5600.00,2026-08-28T10:05:00,failed,UPI,BANK_X,collector,api_call,technical_error
PAY006,150.00,2026-08-28T10:05:30,success,UPI,BANK_X,none,none,none
PAY007,780.00,2026-08-28T10:06:00,failed,UPI,BANK_X,collector,api_call,technical_error
PAY008,4200.00,2026-08-28T10:06:30,failed,UPI,BANK_X,collector,api_call,technical_error
PAY009,330.00,2026-08-28T10:07:00,success,UPI,BANK_X,none,none,none
PAY010,1900.00,2026-08-28T10:07:30,failed,UPI,BANK_X,collector,api_call,technical_error
PAY011,2100.00,2026-08-28T10:08:00,failed,UPI,BANK_X,collector,api_call,technical_error
PAY012,670.00,2026-08-28T10:08:30,failed,UPI,BANK_X,collector,api_call,technical_error
PAY013,4500.00,2026-08-28T10:09:00,failed,UPI,BANK_X,collector,api_call,technical_error
PAY014,880.00,2026-08-28T10:09:30,success,UPI,BANK_X,none,none,none
PAY015,1250.00,2026-08-28T10:12:00,success,UPI,Axis,none,none,none
PAY016,3100.00,2026-08-28T10:13:00,failed,UPI,BANK_X,payer_device,otp_verification,incorrect_otp
PAY017,560.00,2026-08-28T10:14:00,success,Card,HDFC,none,none,none
PAY018,7200.00,2026-08-28T10:15:00,failed,Card,SBI,issuer,auth_reject,insufficient_balance
PAY019,440.00,2026-08-28T10:16:00,success,UPI,Axis,none,none,none
PAY020,3600.00,2026-08-28T10:17:00,failed,UPI,BANK_X,payer_device,otp_verification,incorrect_otp
PAY021,180.00,2026-08-28T10:18:00,success,Card,Kotak,none,none,none
PAY022,8900.00,2026-08-28T10:19:00,failed,NetBanking,HDFC,connector,time_out,timeout_error
PAY023,620.00,2026-08-28T10:20:00,success,UPI,Axis,none,none,none
PAY024,1100.00,2026-08-28T10:22:00,success,Card,ICICI,none,none,none
PAY025,540.00,2026-08-28T10:24:00,success,UPI,SBI,none,none,none
PAY026,1600.00,2026-08-28T10:26:00,failed,UPI,BANK_X,payer_device,otp_verification,incorrect_otp
PAY027,750.00,2026-08-28T10:28:00,success,NetBanking,Axis,none,none,none
PAY028,4800.00,2026-08-28T10:30:00,failed,Card,HDFC,issuer,auth_reject,insufficient_balance
PAY029,950.00,2026-08-28T10:32:00,success,UPI,BANK_X,none,none,none
PAY030,2200.00,2026-08-28T10:34:00,failed,Card,SBI,issuer,auth_reject,insufficient_balance
PAY031,290.00,2026-08-28T10:36:00,success,Card,SBI,none,none,none
PAY032,6100.00,2026-08-28T10:38:00,failed,UPI,BANK_X,collector,api_call,technical_error
PAY033,1800.00,2026-08-28T10:40:00,success,NetBanking,ICICI,none,none,none
PAY034,350.00,2026-08-28T10:42:00,success,Card,Kotak,none,none,none
PAY035,2700.00,2026-08-28T10:44:00,failed,Card,ICICI,issuer,auth_reject,insufficient_balance
